Type,Ticker,Option,ContractsHeld,SellContracts,AddContracts,Recommendation,PositionValue,OptionMark,Reason,PyramidReason,Strategy,Expiry,OptionSymbol,OptionLast,BuyContracts,EstCostTotal
SELL,CRM,CRM 2026-12-18 C 210,1.0,1.0,0.0,SELL_ALL,1987.5,19.875,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,NOW,NOW 2026-08-21 C 125,1.0,1.0,0.0,SELL_ALL,745.0,7.449999999999999,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,UNH,UNH 2026-02-26 C 285,1.0,1.0,0.0,SELL_ALL,1140.0,11.4,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,UNH,UNH 2026-03-06 C 375,1.0,1.0,0.0,SELL_ALL,3.0,0.03,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,NOW,NOW 2026-08-21 C 110,2.0,1.0,0.0,SELL_1,2470.0,12.35,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,NOW,NOW 2026-08-21 C 140,4.0,2.0,0.0,SELL_2,1800.0,4.5,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,ORCL,ORCL 2026-05-15 C 150,1.0,1.0,0.0,SELL_ALL,1367.5,13.675,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,CRM,CRM 2026-03-20 C 200,1.0,1.0,0.0,SELL_ALL,420.0,4.199999999999999,Structure/Trim,Selling/Trimming takes priority,,,,,,
BUY,KO,,,,,,,,New entry funded by freed cash (from sells),,BUY_CALL,2026-04-17,KO260417C00080000,2.46,6.0,1476.0
BUY,MRK,,,,,,,,New entry funded by freed cash (from sells),,BUY_CALL,2026-04-17,MRK260417C00125000,4.43,6.0,2658.0
